"","Tm","Year","Player","Pos","Age","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","eFG.","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PTS","All.Star","prevAS","W.L.","conf","tv","prop.G","tvf","big.m","med.m","small.m","east"
"3110","SAC",2018,"Garrett Temple","SG",31,65,1615,10.2,0.536,0.477,0.164,1.5,9.6,5.4,11.3,1.8,1.6,13.4,16.4,0.3,0.9,1.2,0.035,-1.3,-0.6,-1.9,0.1,199,476,0.418,89,227,0.392,110,249,0.512,60,78,22,130,2.33846153846154,1.90769230769231,57,27,79,8.41538461538462,0,0,0.329,"west",1.358,0.792682926829268,"small",0,0,1,0
"3111","SAC",2013,"Tyreke Evans","SG",23,65,2016,18.1,0.558,0.174,0.354,3.1,13.5,8.2,19,2.3,1,12.6,22.3,3.6,0.8,4.4,0.105,1.9,-0.6,1.3,1.7,366,765,0.478,45,133,0.338,321,632,0.508,210,271,56,231,4.41538461538462,3.52307692307692,90,27,128,15.1846153846154,0,0,0.341,"west",1.358,0.792682926829268,"small",0,0,1,0
"3112","SAC",2018,"Bogdan Bogdanovic","SG",25,78,2175,13.5,0.556,0.426,0.154,1.6,10.5,5.8,18.3,1.7,0.7,13.2,19.6,1.8,1.1,2.9,0.064,0.5,-1.5,-1,0.6,344,772,0.446,129,329,0.392,215,443,0.529,100,119,31,192,2.85897435897436,3.30769230769231,72,16,125,11.7564102564103,0,0,0.329,"west",1.358,0.951219512195122,"small",0,0,1,0
"3113","SAC",2018,"Buddy Hield","SG",24,80,2024,16.1,0.557,0.437,0.087,3,14.8,8.6,12.8,2.1,1,11.3,24.3,1.3,1.5,2.8,0.067,1.2,-1.4,-0.2,0.9,416,933,0.446,176,408,0.431,240,525,0.54,71,81,55,252,3.8375,1.9375,85,22,124,13.4875,0,0,0.329,"west",1.358,0.975609756097561,"small",0,0,1,0
"3114","SAC",2010,"Jon Brockman","PF",22,52,654,12.4,0.564,0,0.602,18.2,19.2,18.7,4.8,1.2,0.6,15,10.4,1.2,0.5,1.7,0.125,-0.4,-0.4,-0.8,0.2,55,103,0.534,0,0,0,55,103,0.534,37,62,105,108,4.09615384615385,0.423076923076923,15,5,23,2.82692307692308,0,0,0.305,"west",1.358,0.634146341463415,"small",0,0,1,0
"3115","SAC",2017,"Georgios Papagiannis","C",19,22,355,12.7,0.573,0.02,0.137,7.9,19.9,14,9,0.4,4.4,18.2,16.9,0.1,0.3,0.4,0.058,-3.5,0.8,-2.7,-0.1,56,102,0.549,0,2,0,56,100,0.549,12,14,24,62,3.90909090909091,0.909090909090909,3,17,24,5.63636363636364,0,0,0.39,"west",1.358,0.268292682926829,"small",0,0,1,0
"3116","SAC",2017,"Rudy Gay","SF",30,30,1013,17.9,0.559,0.256,0.312,4,17.5,10.8,13.9,2.2,2.3,12.8,25.8,0.8,1,1.8,0.086,0.3,0.4,0.7,0.7,201,442,0.455,42,113,0.372,159,329,0.502,118,138,35,155,6.33333333333333,2.73333333333333,44,26,74,18.7333333333333,0,0,0.39,"west",1.358,0.365853658536585,"small",0,0,1,0
"3117","SAC",2019,"Kosta Koufos","C",29,42,502,12.3,0.477,0,0.157,10.4,26.3,18.2,9.5,1.4,3.1,14.2,15.7,0,0.7,0.7,0.063,-4.3,1.8,-2.5,-0.1,73,153,0.477,0,0,0,73,153,0.477,10,24,52,125,4.21428571428571,0.857142857142857,15,18,27,3.71428571428571,0,0,0.476,"west",1.358,0.51219512195122,"small",0,0,1,0
"3118","SAC",2015,"Rudy Gay","SF",28,68,2408,19.7,0.556,0.197,0.352,4.8,13.7,9.4,19,1.5,1.3,12.4,27,4.8,1.3,6.1,0.122,2.8,-0.7,2.1,2.5,508,1116,0.455,79,220,0.359,429,896,0.491,337,393,98,301,5.86764705882353,3.67647058823529,71,41,183,21.0588235294118,0,0,0.354,"west",1.358,0.829268292682927,"small",0,0,1,0
"3119","SAC",2013,"Jason Thompson","PF",26,82,2285,14.6,0.533,0.004,0.277,8.4,19.5,13.8,6,1.1,2.1,10.8,18.2,2.7,0.9,3.6,0.075,-1.3,-0.7,-2,0,374,745,0.502,0,3,0,374,742,0.502,143,206,172,377,6.69512195121951,1.02439024390244,48,61,101,10.8658536585366,0,0,0.341,"west",1.358,1,"small",0,0,1,0
"3120","SAC",2012,"Isaiah Thomas","PG",22,65,1656,17.6,0.574,0.384,0.324,3,8.4,5.6,25.6,1.6,0.4,13.9,19.8,4.2,0,4.3,0.124,3.2,-2.7,0.5,1.1,256,571,0.448,83,219,0.379,173,352,0.521,154,185,48,120,2.58461538461538,4.09230769230769,53,8,105,11.5230769230769,0,0,0.333,"west",1.358,0.984848484848485,"small",0,0,1,0
"3121","SAC",2019,"Bogdan Bogdanović","SG",26,70,1947,14.1,0.53,0.431,0.188,2.1,11,6.4,19.3,1.7,0.7,11.1,22.3,1.3,1.4,2.7,0.067,0.5,-1.2,-0.7,0.6,361,863,0.418,134,372,0.36,227,491,0.496,134,162,40,203,3.47142857142857,3.81428571428571,72,15,117,14.1428571428571,0,0,0.476,"west",1.358,0.853658536585366,"small",0,0,1,0
"3122","SAC",2010,"Kenny Thomas","PF",32,26,313,9,0.509,0,0.343,12.6,18.9,15.7,6.5,1.6,2.3,29.7,8.1,0.1,0.3,0.4,0.059,-3.2,2.1,-1.1,0.1,17,35,0.486,0,0,0,17,35,0.486,7,12,35,51,3.30769230769231,0.576923076923077,10,10,17,1.57692307692308,0,0,0.305,"west",1.358,0.317073170731707,"small",0,0,1,0
"3123","SAC",2012,"Marcus Thornton","SG",24,51,1780,17.4,0.544,0.386,0.203,4.9,6.7,5.8,9.4,2,0.5,8.8,23.4,3.7,0.1,3.8,0.103,3.4,-2.5,1,1.3,352,803,0.438,107,310,0.345,245,493,0.505,141,163,84,104,3.68627450980392,1.92156862745098,71,12,84,18.6666666666667,0,0,0.333,"west",1.358,0.772727272727273,"small",0,0,1,0
"3124","SAC",2019,"Willie Cauley-Stein","C",25,81,2213,18,0.566,0.003,0.343,8.2,23.7,15.8,12.3,2,2,9,17.5,3.8,2.9,6.7,0.146,-0.2,2.2,2,2.3,412,741,0.556,1,2,0.5,411,739,0.557,140,254,181,497,8.37037037037037,2.39506172839506,96,51,84,11.9135802469136,0,0,0.476,"west",1.358,0.98780487804878,"small",0,0,1,0
"3125","SAC",2017,"Ben McLemore","SG",23,61,1176,9.8,0.538,0.406,0.222,1.9,10.8,6.4,6.9,1.2,0.5,11.9,20.1,-0.1,0.5,0.4,0.015,-2.1,-2.7,-4.8,-0.8,180,419,0.43,65,170,0.382,115,249,0.507,70,93,19,111,2.13114754098361,0.836065573770492,29,6,62,8.11475409836066,0,0,0.39,"west",1.358,0.74390243902439,"small",0,0,1,0
"3126","SAC",2018,"Vince Carter","SF",41,58,1026,10.8,0.523,0.583,0.131,1.9,15.1,8.2,9.7,2.1,2.4,10.7,14.7,0.3,0.9,1.2,0.056,-1.5,0.4,-1.1,0.2,114,283,0.403,57,165,0.345,57,118,0.504,28,37,18,130,2.55172413793103,1.18965517241379,42,26,36,5.39655172413793,0,1,0.329,"west",1.358,0.707317073170732,"small",0,0,1,0
"3127","SAC",2019,"Yogi Ferrell","PG",25,71,1067,12.7,0.55,0.423,0.19,1.2,9.5,5.3,17,1.6,0.3,9.5,16.3,1.3,0.6,1.9,0.087,-0.5,-1.8,-2.3,-0.1,153,352,0.435,54,149,0.362,99,203,0.511,60,67,13,96,1.53521126760563,1.92957746478873,36,4,40,5.91549295774648,0,0,0.476,"west",1.358,0.865853658536585,"small",0,0,1,0
"3128","SAC",2019,"Nemanja Bjelica","PF",30,77,1788,15.4,0.585,0.433,0.155,7,18.8,12.8,11.1,1.4,2.7,11.5,16.5,2.7,1.9,4.5,0.122,0.8,1.2,2,1.8,284,593,0.479,103,257,0.401,181,336,0.566,70,92,125,319,5.76623376623377,1.90909090909091,54,56,82,9.62337662337662,0,0,0.476,"west",1.358,0.939024390243902,"small",0,0,1,0
"3129","SAC",2013,"Travis Outlaw","SF",28,38,444,13,0.5,0.282,0.294,4.3,11.7,7.9,7.7,1.3,1.4,8.7,21.9,0.3,0.1,0.3,0.037,-1.5,-3.2,-4.7,-0.3,74,177,0.418,14,50,0.28,60,127,0.458,38,52,17,44,1.60526315789474,0.552631578947368,11,8,19,5.26315789473684,0,0,0.341,"west",1.358,0.463414634146341,"small",0,0,1,0
"3130","SAC",2016,"Omri Casspi","SF",27,69,1880,13.9,0.587,0.441,0.256,3.4,20.1,11.8,7.5,1.4,0.7,12,17.8,2.1,1.5,3.6,0.092,0.3,-0.6,-0.3,0.8,299,622,0.481,112,274,0.409,187,348,0.571,103,159,58,352,5.94202898550725,1.3768115942029,56,17,94,11.7826086956522,0,0,0.402,"west",1.358,0.841463414634146,"small",0,0,1,0
"3131","SAC",2019,"Frank Mason","PG",24,38,435,12.4,0.502,0.379,0.337,1.4,9,5.1,26.3,1.7,0.8,15.6,21.8,0,0.3,0.3,0.033,-2,-2.5,-4.5,-0.3,71,169,0.42,14,64,0.219,57,105,0.462,39,57,6,37,1.13157894736842,2.21052631578947,16,4,36,5.13157894736842,0,0,0.476,"west",1.358,0.463414634146341,"small",0,0,1,0
"3132","SAC",2013,"Isaiah Thomas","PG",23,79,2122,17.5,0.574,0.386,0.345,1.5,7.3,4.4,24.6,1.6,0.1,12.7,23,5.2,-0.1,5,0.114,3.5,-3.7,-0.2,1,366,832,0.44,115,321,0.358,251,511,0.509,253,287,29,132,2.0379746835443,4,67,3,140,13.9240506329114,0,0,0.341,"west",1.358,0.963414634146341,"small",0,0,1,0
"3133","SAC",2010,"Sean May","C",25,37,331,11.7,0.492,0.036,0.288,6.8,17.5,12.1,8.1,1.9,1.5,13.2,19.3,0,0.3,0.3,0.044,-3.8,-0.5,-4.3,-0.2,51,111,0.459,0,4,0,51,107,0.459,21,32,20,50,1.89189189189189,0.459459459459459,12,7,19,3.32432432432432,0,0,0.305,"west",1.358,0.451219512195122,"small",0,0,1,0
"3134","SAC",2010,"Andres Nocioni","SF",30,75,1477,11.1,0.504,0.424,0.169,2.5,14.9,8.6,8,1.1,1.3,9.6,20.9,0.4,1,1.3,0.044,-1.5,-1.9,-3.4,-0.5,234,587,0.399,96,249,0.386,138,338,0.48,71,99,32,190,2.96,1,32,26,67,8.46666666666667,0,0,0.305,"west",1.358,0.914634146341463,"small",0,0,1,0
"3135","SAC",2010,"Beno Udrih","PG",27,79,2477,15.7,0.566,0.237,0.168,1.7,8.5,5.1,24.1,1.8,0.3,13.1,18.6,4.2,1.3,5.5,0.107,1.6,-1.4,0.2,1.4,415,841,0.493,75,199,0.377,340,642,0.538,118,141,38,181,2.77215189873418,4.70886075949367,89,10,136,12.9493670886076,0,0,0.305,"west",1.358,0.963414634146341,"small",0,0,1,0
"3136","SAC",2017,"Darren Collison","PG",29,68,2063,15.3,0.57,0.245,0.239,1.3,7.2,4.3,24.5,1.6,0.4,12.6,19.8,3.1,0.8,3.9,0.091,0.8,-2.3,-1.5,0.3,340,714,0.476,73,175,0.417,267,539,0.527,147,171,23,130,2.25,4.58823529411765,67,9,114,13.2352941176471,0,0,0.39,"west",1.358,0.829268292682927,"small",0,0,1,0
"3137","SAC",2018,"Frank Mason","PG",23,52,984,13,0.48,0.226,0.303,3.3,12.1,7.5,22.7,1.7,1,13.1,22.6,0,0.6,0.5,0.027,-2,-1.4,-3.4,-0.4,144,380,0.379,31,86,0.36,113,294,0.42,94,115,30,100,2.5,2.82692307692308,34,10,65,7.94230769230769,0,0,0.329,"west",1.358,0.634146341463415,"small",0,0,1,0
"3138","SAC",2018,"De'Aaron Fox","PG",20,73,2026,11.2,0.478,0.192,0.245,1.8,10,5.7,24.6,1.7,0.9,16.4,23.4,-1.7,1.1,-0.6,-0.014,-2.8,-1.5,-4.4,-1.2,328,797,0.412,47,153,0.307,281,644,0.441,141,195,33,171,2.79452054794521,4.38356164383562,70,20,173,11.5616438356164,0,0,0.329,"west",1.358,0.890243902439024,"small",0,0,1,0
"3139","SAC",2015,"Carl Landry","PF",31,70,1192,14.9,0.578,0,0.407,9.8,15.5,12.8,3.6,0.6,1.1,11,18.1,2.3,0.5,2.8,0.112,-1,-2.6,-3.6,-0.5,190,369,0.515,0,0,0,190,369,0.515,123,150,99,169,3.82857142857143,0.371428571428571,15,17,54,7.18571428571429,0,0,0.354,"west",1.358,0.853658536585366,"small",0,0,1,0
"3140","SAC",2017,"Anthony Tolliver","PF",31,65,1477,11.1,0.595,0.655,0.234,4,14.5,9.3,7.7,1.1,1.2,12.6,13.6,1.5,0.8,2.3,0.075,0.2,-0.8,-0.6,0.5,155,351,0.442,90,230,0.391,65,121,0.57,61,82,51,188,3.67692307692308,1.18461538461538,33,20,56,7.09230769230769,0,0,0.39,"west",1.358,0.792682926829268,"small",0,0,1,0
"3141","SAC",2016,"DeMarcus Cousins","C",25,65,2246,23.6,0.538,0.158,0.498,7.7,28.2,18,17,2.2,3.3,13.3,35.4,2.4,3.3,5.7,0.122,1,1.6,2.6,2.6,601,1332,0.451,70,210,0.333,531,1122,0.477,476,663,158,589,11.4923076923077,3.29230769230769,101,92,249,26.8923076923077,1,1,0.402,"west",1.358,0.792682926829268,"small",0,0,1,0
"3142","SAC",2014,"DeMarcus Cousins","C",23,71,2298,26.1,0.555,0.006,0.5,10.6,30.5,20.4,17.8,2.4,3.2,14.7,32.7,4.1,3.8,7.9,0.166,1.9,2.9,4.7,3.9,591,1191,0.496,0,7,0,591,1184,0.496,432,595,218,613,11.7042253521127,2.91549295774648,109,91,251,22.7323943661972,0,0,0.341,"west",1.358,0.865853658536585,"small",0,0,1,0
"3143","SAC",2009,"Spencer Hawes","C",20,77,2259,13,0.509,0.144,0.17,7.6,20.9,14.2,11.3,1,3.1,15.7,20.2,-0.4,1.2,0.8,0.016,-2.4,0.2,-2.1,-0.1,373,800,0.466,40,115,0.348,333,685,0.491,90,136,148,401,7.12987012987013,1.93506493506494,44,93,160,11.3766233766234,0,0,0.207,"west",1.358,0.939024390243902,"small",0,0,1,0
"3144","SAC",2016,"James Anderson","SG",26,51,721,6,0.469,0.483,0.163,2,10.9,6.5,7.7,1.4,1.6,18,13.7,-0.6,0.4,-0.3,-0.017,-3.9,-0.3,-4.2,-0.4,67,178,0.376,23,86,0.267,44,92,0.441,22,29,13,73,1.68627450980392,0.803921568627451,21,14,42,3.50980392156863,0,0,0.402,"west",1.358,0.621951219512195,"small",0,0,1,0
"3145","SAC",2012,"Jimmer Fredette","PG",22,61,1135,10.8,0.495,0.484,0.108,1.6,5.7,3.5,15.1,1.3,0.2,12.5,20.4,0.5,-0.2,0.3,0.012,-0.4,-4,-4.4,-0.7,172,446,0.386,78,216,0.361,94,230,0.473,40,48,17,56,1.19672131147541,1.77049180327869,30,3,67,7.57377049180328,0,0,0.333,"west",1.358,0.924242424242424,"small",0,0,1,0
"3146","SAC",2010,"Tyreke Evans","SG",20,72,2677,18.2,0.529,0.121,0.399,2.8,13.6,8.1,26.1,2.1,0.7,13.6,26.2,3.3,2.1,5.4,0.097,1.6,0,1.6,2.5,533,1165,0.458,36,141,0.255,497,1024,0.473,348,465,66,314,5.27777777777778,5.75,109,26,216,20.1388888888889,0,0,0.305,"west",1.358,0.878048780487805,"small",0,0,1,0
"3147","SAC",2009,"Beno Udrih","PG",26,73,2270,12.3,0.525,0.162,0.216,2.4,9,5.7,24.7,1.8,0.4,17.2,18.2,1,0.2,1.2,0.026,-0.9,-1.9,-2.8,-0.4,321,696,0.461,35,113,0.31,286,583,0.486,123,150,46,174,3.01369863013699,4.68493150684932,81,12,158,10.958904109589,0,0,0.207,"west",1.358,0.890243902439024,"small",0,0,1,0
"3148","SAC",2019,"De'Aaron Fox","PG",21,81,2546,18.1,0.544,0.211,0.378,1.7,10.8,6.2,33.2,2.4,1.5,15,24.5,3.2,2.5,5.6,0.106,1.1,0,1.1,2,505,1102,0.458,86,232,0.371,419,870,0.497,303,417,43,261,3.75308641975309,7.28395061728395,133,45,227,17.2716049382716,0,0,0.476,"west",1.358,0.98780487804878,"small",0,0,1,0
"3149","SAC",2015,"Ryan Hollins","C",30,46,441,13.1,0.648,0,0.659,9.6,16.6,13.2,5,0.7,3.4,19.1,13.1,0.7,0.3,1,0.104,-1.4,0,-1.4,0.1,53,82,0.646,0,0,0,53,82,0.646,31,54,36,67,2.23913043478261,0.304347826086957,6,19,25,2.97826086956522,0,0,0.354,"west",1.358,0.560975609756098,"small",0,0,1,0
